x,y,z,z-max,Material,Nº de Registro,Sond-Quad,Sondagem,Quadrante,Quantia,Observações,Características,Data,Nº de Campo,Sítio,Pesquisa,Nº do saco,Peça Marc.
677.0,230.0,-88.0,,Lítico,TQ/I/00090,SON12-Q2,12,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-90.0,100.0,Lítico,TQ/I/00091,SON13-Q2,13,2,3.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
985.0,293.0,-100.0,,Lítico,TQ/I/00092,SON15-Q2,15,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00093,SON13-Q2,13,2,2.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
713.0,272.0,-101.0,,Lítico,TQ/I/00094,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-80.0,90.0,Lítico,TQ/I/00095,SON10-Q1,10,1,4.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
833.0,207.0,-119.0,,Lítico,TQ/I/00096,SON14-Q2,14,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-105.0,110.0,Lítico,TQ/I/00097,SON13-Q2,13,2,2.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
,,-95.0,105.0,Lítico,TQ/I/00098,SON13-Q2,13,2,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
465.0,126.0,-97.0,,Lítico,TQ/I/00099,SON10-Q1,10,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
19.0,267.0,-139.0,,Lítico,TQ/I/00100,SON11-Q1,11,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
979.0,300.0,-105.0,,Lítico,TQ/I/00101,SON15-Q2,15,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-80.0,90.0,Lítico,TQ/I/00102,SON13-Q2,13,2,1.0,Peneira,Possível adorno,2017-12-01 00:00:00,,Taquarí,,,
,,-70.0,80.0,Lítico,TQ/I/00103,SON10-Q1,10,1,1.0,Peneira,Possível adorno,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00104,SON14-Q2,14,2,2.0,Peneira,Possível adorno,2017-12-01 00:00:00,,Taquarí,,,
840.0,280.0,-109.0,,Lítico,TQ/I/00105,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-90.0,100.0,Lítico,TQ/I/00106,SON13-Q2,13,2,4.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
675.0,275.0,-98.0,,Lítico,TQ/I/00107,SON12-Q2,12,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,0.0,,Lítico,TQ/I/00108,SON10-Q1,10,1,2.0,Peneira sem profundidade,,2017-12-01 00:00:00,,Taquarí,,,
791.0,220.0,-93.0,,Lítico,TQ/I/00109,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-80.0,90.0,Lítico,TQ/I/00110,SON10-Q1,10,1,5.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00111,SON10-Q1,10,1,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
880.0,276.0,-102.0,,Lítico,TQ/I/00112,SON14-Q2,14,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-90.0,100.0,Lítico,TQ/I/00113,SON13-Q2,13,2,2.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
447.0,188.0,-94.0,,Lítico,TQ/I/00114,SON10-Q1,10,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
638.0,297.0,-103.0,,Lítico,TQ/I/00115,SON12-Q2,12,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00116,SON10-Q1,10,1,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
479.0,23.0,-89.0,,Lítico,TQ/I/00117,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00118,SON15-Q1,15,1,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
676.0,202.0,-100.0,,Lítico,TQ/I/00119,SON12-Q2,12,2,1.0,,Termófora com marca de queima: não higienizar com água,2017-12-01 00:00:00,,Taquarí,,,
400.0,194.0,-86.0,,Lítico,TQ/I/00120,SON10-Q1,10,1,1.0,,Entre as sondagens,2017-12-01 00:00:00,,Taquarí,,,
,,-110.0,120.0,Lítico,TQ/I/00121,SON14-Q2,14,2,6.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
774.0,242.0,-88.0,,Lítico,TQ/I/00122,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
847.0,200.0,-106.0,,Lítico,TQ/I/00123,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
430.0,30.0,-85.0,,Lítico,TQ/I/00124,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
14.0,242.0,-127.0,,Lítico,TQ/I/00125,SON11-Q1,11,1,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
9.0,280.0,-127.0,,Lítico,TQ/I/00126,SON11-Q1,11,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
456.0,17.0,-85.0,,Lítico,TQ/I/00127,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
910.0,280.0,-110.0,,Lítico,TQ/I/00128,SON15-Q2,15,2,1.0,,Termófora,2017-12-01 00:00:00,,Taquarí,,,
471.0,110.0,-89.0,,Lítico,TQ/I/00129,SON10-Q1,10,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
475.0,20.0,-83.0,,Lítico,TQ/I/00130,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
812.0,222.0,-109.0,,Lítico,TQ/I/00131,SON14-Q2,14,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00132,SON14-Q2,14,2,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
750.0,260.0,-105.0,,Lítico,TQ/I/00133,SON13-Q2,13,2,3.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,0.0,,Lítico,TQ/I/00134,Errada,Errada,Errada,5.0,"Plotagem errada (SON5-Q2 [05, 35, 80])",,2017-12-01 00:00:00,,Taquarí,,,
748.0,244.0,-94.0,,Lítico,TQ/I/00135,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,0.0,,Lítico,TQ/I/00136,Errada,Errada,Errada,3.0,"Sem sondagem ([25, 80, 85])",,2017-12-01 00:00:00,,Taquarí,,,
892.0,284.0,-100.0,,Lítico,TQ/I/00137,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
473.0,46.0,-87.0,,Lítico,TQ/I/00138,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
794.0,226.0,-90.0,,Lítico,TQ/I/00139,SON13-Q2,13,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
21.0,216.0,-136.0,,Lítico,TQ/I/00140,SON11-Q1,11,1,1.0,,Canaleta,2017-12-01 00:00:00,,Taquarí,,,
485.0,156.0,-82.0,,Lítico,TQ/I/00141,SON10-Q1,10,1,4.0,,,2017-12-01 00:00:00,,Taquarí,,,
868.0,200.0,-103.0,,Lítico,TQ/I/00142,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-50.0,60.0,Lítico,TQ/I/00143,SON5-Q1,5,1,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00144,SON12-Q2,12,2,5.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
776.0,220.0,-93.0,,Lítico,TQ/I/00145,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
490.0,70.0,-95.0,,Lítico,TQ/I/00146,SON5-Q1,5,1,1.0,,Canaleta,2017-12-01 00:00:00,,Taquarí,,,
466.0,161.0,-84.0,,Lítico,TQ/I/00147,SON10-Q1,10,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
952.0,220.0,-89.0,,Lítico,TQ/I/00148,SON15-Q2,15,2,2.0,,"Termófora, marca de queima, coletada junto com osso",2017-12-01 00:00:00,,Taquarí,,,
890.0,293.0,-102.0,,Lítico,TQ/I/00149,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
807.0,223.0,-105.0,,Lítico,TQ/I/00150,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-50.0,60.0,Lítico,TQ/I/00151,SON5-Q1,5,1,2.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
773.0,217.0,-92.0,,Lítico,TQ/I/00152,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
615.0,235.0,-100.0,,Lítico,TQ/I/00153,SON12-Q2,12,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
426.0,26.0,-82.0,,Lítico,TQ/I/00154,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
863.0,220.0,-102.0,,Lítico,TQ/I/00155,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
785.0,243.0,-85.0,,Lítico,TQ/I/00156,SON13-Q2,13,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
845.0,207.0,-106.0,,Lítico,TQ/I/00157,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
404.0,30.0,-87.0,,Lítico,TQ/I/00158,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
868.0,229.0,-105.0,,Lítico,TQ/I/00159,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
89.0,261.0,-134.0,,Lítico,TQ/I/00160,SON11-Q1,11,1,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
476.0,26.0,-89.0,,Lítico,TQ/I/00161,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
400.0,86.0,-91.0,,Lítico,TQ/I/00162,SON5-Q1,5,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-88.0,88.0,Lítico,TQ/I/00163,SON13-Q2,13,2,1.0,Peneira,,2017-12-01 00:00:00,,Taquarí,,,
427.0,196.0,-82.0,,Lítico,TQ/I/00164,SON10-Q1,10,1,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
449.0,34.0,-87.0,,Lítico,TQ/I/00165,SON5-Q1,5,1,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
794.0,238.0,-90.0,,Lítico,TQ/I/00166,SON13-Q2,13,2,1.0,,Possível machado,2017-12-01 00:00:00,,Taquarí,,,
,,0.0,,Lítico,TQ/I/00167,Errada,Errada,Errada,1.0,Peneira sem profundidade e sem sondagem,,2017-12-01 00:00:00,,Taquarí,,,
1472.0,473.0,-92.0,,Lítico,TQ/I/00168,SON25-Q3,25,3,1.0,,,1º dia,,Taquarí,,,
847.0,202.0,-106.0,,Lítico,TQ/I/00169,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
478.0,158.0,-91.0,,Lítico,TQ/I/00170,SON10-Q1,10,1,3.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00171,SON10-Q1,10,1,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
642.0,238.0,-92.0,,Lítico,TQ/I/00172,SON12-Q2,12,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-90.0,100.0,Lítico,TQ/I/00173,SON10-Q1,10,1,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00174,SON14-Q2,14,2,7.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00175,SON14-Q2,14,2,4.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00176,SON15-Q2,15,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
767.0,282.0,-97.0,,Lítico,TQ/I/00177,SON13-Q2,13,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
660.0,290.0,-96.0,,Lítico,TQ/I/00178,SON12-Q2,12,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-100.0,110.0,Lítico,TQ/I/00179,SON13-Q2,13,2,4.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,-90.0,100.0,Lítico,TQ/I/00180,SON10-Q1,10,1,9.0,,,2017-12-01 00:00:00,,Taquarí,,,
830.0,285.0,-92.0,,Lítico,TQ/I/00181,SON14-Q2,14,2,2.0,,,2017-12-01 00:00:00,,Taquarí,,,
818.0,245.0,-105.0,,Lítico,TQ/I/00182,SON14-Q2,14,2,1.0,,,2017-12-01 00:00:00,,Taquarí,,,
,,0.0,,Osso,TQ/VI/00001,SON15-Q1,15,1,1.0,,,3º dia,87.0,Taquarí,,1,
479.0,286.0,-126.0,,Osso,TQ/VI/00002,SON15-Q1,15,1,1.0,,,3º dia,119.0,Taquarí,,2,
996.0,215.0,-103.0,,Osso,TQ/VI/00003,SON15-Q2,15,2,1.0,,,3º dia,122.0,Taquarí,,3,
,,-15.0,30.0,Osso,TQ/VI/00004,SON15-Q1,15,1,1.0,Peneira,,3º dia,,Taquarí,,4,
,,0.0,,Osso,TQ/VI/00005,Errada,Errada,Errada,1.0,Sem sondagem,,4º dia,,Taquarí,,5,
,,0.0,,Osso,TQ/VI/00006,Errada,Errada,Errada,1.0,Sem sondagem,,4º dia,,Taquarí,,6,
,,0.0,,Osso,TQ/VI/00007,Errada,Errada,Errada,1.0,Sem sondagem,,4º dia,,Taquarí,,7,
,,0.0,,Osso,TQ/VI/00008,Errada,Errada,Errada,1.0,Sem sondagem,Maxilar (possível datação),4º dia,,Taquarí,,8,
945.0,275.0,-95.0,,Osso,TQ/VI/00009,SON15-Q2,15,2,1.0,,,4º dia,38.0,Taquarí,,9,
425.0,185.0,-101.0,,Osso,TQ/VI/00010,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,10,
786.0,223.0,-102.0,,Osso,TQ/VI/00011,SON13-Q2,13,2,,,“Colado”?,2017-12-01 00:00:00,,Taquarí,,11,
,,-80.0,90.0,Osso,TQ/VI/00012,SON13-Q2,13,2,,Peneira,Marca de corte (?),2017-12-01 00:00:00,,Taquarí,,12,
760.0,220.0,-104.0,,Osso,TQ/VI/00013,SON13-Q2,13,2,,,Dente de pingente,2017-12-01 00:00:00,,Taquarí,,13,
865.0,200.0,-103.0,,Osso,TQ/VI/00014,SON14-Q2,14,2,,,“Colado”?,2017-12-01 00:00:00,,Taquarí,,14,
778.0,217.0,-103.0,,Osso,TQ/VI/00015,SON13-Q2,13,2,,,Costela com marca de corte,2017-12-01 00:00:00,,Taquarí,,15,
430.0,45.0,-87.0,,Osso,TQ/VI/00016,SON5-Q1,5,1,,,,2017-12-01 00:00:00,,Taquarí,,16,
765.0,215.0,-106.0,,Osso,TQ/VI/00017,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,17,
784.0,223.0,-92.0,,Osso,TQ/VI/00018,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,18,
744.0,273.0,-109.0,,Osso,TQ/VI/00019,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,19,
774.0,223.0,-104.0,,Osso,TQ/VI/00020,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,20,
763.0,228.0,-101.0,,Osso,TQ/VI/00021,SON13-Q2,13,2,,,Osso calcinado,2017-12-01 00:00:00,,Taquarí,,21,
,,-100.0,110.0,Osso,TQ/VI/00022,SON14-Q2,14,2,,Peneira,,2017-12-01 00:00:00,,Taquarí,,22,
935.0,277.0,-113.0,,Osso,TQ/VI/00023,SON15-Q2,15,2,,,Mandíbula,2017-12-01 00:00:00,,Taquarí,,23,
660.0,220.0,-107.0,,Osso,TQ/VI/00024,SON12-Q2,12,2,,,Placa de casco de tatu,2017-12-01 00:00:00,,Taquarí,,24,
690.0,286.0,-104.0,,Osso,TQ/VI/00025,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,25,
494.0,194.0,-94.0,,Osso,TQ/VI/00026,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,26,
488.0,178.0,-92.0,,Osso,TQ/VI/00027,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,27,
438.0,189.0,-93.0,,Osso,TQ/VI/00028,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,28,
418.0,83.0,-95.0,,Osso,TQ/VI/00029,SON5-Q1,5,1,,,,2017-12-01 00:00:00,,Taquarí,,29,
425.0,185.0,-101.0,,Osso,TQ/VI/00030,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,30,
784.0,223.0,-92.0,,Osso,TQ/VI/00031,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,31,
873.0,260.0,-104.0,,Osso,TQ/VI/00032,SON14-Q2,14,2,,,,2017-12-01 00:00:00,,Taquarí,,32,
784.0,223.0,-92.0,,Osso,TQ/VI/00033,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,33,
784.0,223.0,-92.0,,Osso,TQ/VI/00034,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,34,
784.0,223.0,-92.0,,Osso,TQ/VI/00035,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,35,
764.0,210.0,-102.0,,Osso,TQ/VI/00036,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,36,
630.0,235.0,-113.0,,Osso,TQ/VI/00037,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,37,
790.0,230.0,-99.0,,Osso,TQ/VI/00038,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,38,
752.0,220.0,-89.0,,Osso,TQ/VI/00039,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,39,
417.0,96.0,-93.0,,Osso,TQ/VI/00040,SON5-Q1,5,1,,,Carbonizado,2017-12-01 00:00:00,,Taquarí,,40,
408.0,57.0,-93.0,,Osso,TQ/VI/00041,SON5-Q1,5,1,,,,2017-12-01 00:00:00,,Taquarí,,41,
757.0,230.0,-102.0,,Osso,TQ/VI/00042,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,42,
768.0,205.0,-108.0,,Osso,TQ/VI/00043,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,43,
425.0,181.0,-103.0,,Osso,TQ/VI/00044,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,44,
438.0,154.0,-96.0,,Osso,TQ/VI/00045,SON10-Q1,10,1,,,,2017-12-01 00:00:00,,Taquarí,,45,
640.0,205.0,-108.0,,Osso,TQ/VI/00046,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,46,
784.0,223.0,-92.0,,Osso,TQ/VI/00047,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,47,
655.0,215.0,-108.0,,Osso,TQ/VI/00048,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,48,
,,0.0,,Osso,TQ/VI/00049,Errada,Errada,Errada,,"Plotagem errada (SON8-Q1 [95, 91, 97])",,2017-12-01 00:00:00,,Taquarí,,49,
883.0,259.0,-98.0,,Osso,TQ/VI/00050,SON14-Q2,14,2,,,,2017-12-01 00:00:00,,Taquarí,,50,
,,-100.0,110.0,Osso,TQ/VI/00051,SON12-Q2,12,2,,Peneira,Espinha de peixe,2017-12-01 00:00:00,,Taquarí,,51,
735.0,252.0,-100.0,,Osso,TQ/VI/00052,SON13-Q2,13,2,,,Dentes,2017-12-01 00:00:00,,Taquarí,,52,
685.0,215.0,-100.0,,Osso,TQ/VI/00053,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,53,
645.0,205.0,-90.0,,Osso,TQ/VI/00054,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,54,
,,-100.0,110.0,Osso,TQ/VI/00055,SON13-Q2,13,2,,Peneira,,2017-12-01 00:00:00,,Taquarí,,55,
,,-100.0,110.0,Osso,TQ/VI/00056,SON13-Q2,13,2,,Peneira,Concha,2017-12-01 00:00:00,,Taquarí,,56,
872.0,246.0,-101.0,,Osso,TQ/VI/00057,SON14-Q2,14,2,,,Possível costela de ave,2017-12-01 00:00:00,,Taquarí,,57,
765.0,294.0,-96.0,,Osso,TQ/VI/00058,SON13-Q2,13,2,,,,2017-12-01 00:00:00,,Taquarí,,58,
838.0,226.0,-115.0,,Osso,TQ/VI/00059,SON14-Q2,14,2,,,,2017-12-01 00:00:00,,Taquarí,,59,
898.0,257.0,-105.0,,Osso,TQ/VI/00060,SON14-Q2,14,2,,,,2017-12-01 00:00:00,,Taquarí,,60,
695.0,270.0,-100.0,,Osso,TQ/VI/00061,SON12-Q2,12,2,,,,2017-12-01 00:00:00,,Taquarí,,61,
682.0,232.0,-96.0,,Osso,TQ/VI/00062,SON12-Q2,12,2,1.0,,Osso calcinado,2017-12-01 00:00:00,,Taquarí,,62,
434.0,257.0,-126.0,,Carvão,TQ/VIII/00001,SON15-Q1,15,1,1.0,,,4º dia,,Taquarí,,1,
434.0,217.0,-160.0,,Carvão,TQ/VIII/00002,SON15-Q1,15,1,1.0,,,4º dia,,Taquarí,,2,
480.0,280.0,-100.0,,Carvão,TQ/VIII/00003,SON15-Q1,15,1,1.0,,,4º dia,,Taquarí,,3,
493.0,244.0,-104.0,,Carvão,TQ/VIII/00004,SON15-Q1,15,1,1.0,,,4º dia,,Taquarí,,4,
,,0.0,,Carvão,TQ/VIII/00005,Errada,Errada,Errada,1.0,Sem sondagem,,4º dia,,Taquarí,,5,
,,0.0,,Carvão,TQ/VIII/00006,Errada,Errada,Errada,1.0,Sem sondagem,,4º dia,,Taquarí,,6,
439.0,236.0,-146.0,,Carvão,TQ/VIII/00007,SON15-Q1,15,1,1.0,,,4º dia,,Taquarí,,7,
480.0,,-77.0,,Carvão,TQ/VIII/00008,SON5-Q1,5,1,,,,2017-12-01 00:00:00,,Taquarí,,8,
480.0,215.0,-97.0,,Carvão,TQ/VIII/00009,SON15-Q1,15,1,,,,2017-12-01 00:00:00,,Taquarí,,9,
,,0.0,,Amostra de solo,TQ/IX/00001,SON15-Q2,15,2,1.0,,Sedimento para análise,,,Taquarí,,1,
